Date,CompanyID,CustomerID,TicketsOpened,TicketsResolved,UnresolvedCases,SLA_TargetHours,SLA_ActualHours,NPS_Score,ServiceQualityScore
2024-01-01,1,1001,2,2,0,24,22.13,8,71
2024-01-01,1,1002,3,3,0,24,27.21,7,85
2024-01-01,1,1003,5,5,0,24,25.94,9,83
2024-01-01,1,1004,2,2,0,24,18.48,9,72
2024-01-01,1,1005,0,0,0,24,31.58,10,83
2024-01-01,1,1006,0,0,0,24,15.55,7,94
2024-01-01,1,1007,0,0,0,24,18.71,10,73
2024-01-01,1,1008,3,3,0,24,10.18,4,80
2024-01-01,1,1009,2,2,0,24,21.07,8,71
2024-01-01,1,1010,1,1,0,24,23.38,7,98
2024-01-01,1,1011,5,4,1,24,11.36,7,81
2024-01-01,1,1012,3,3,0,24,25.32,6,80
2024-01-01,1,1013,0,0,0,24,22.11,7,77
2024-01-01,1,1014,0,0,0,24,25.68,7,76
2024-01-01,1,1015,3,2,1,24,31.39,6,86
2024-01-01,1,1016,2,2,0,24,9.0,5,58
2024-01-01,1,1017,5,5,0,24,13.6,4,91
2024-01-01,1,1018,1,1,0,24,19.99,6,92
2024-01-01,1,1019,1,1,0,24,12.29,5,73
2024-01-01,1,1020,2,1,1,24,16.61,7,79
2024-01-01,2,1001,2,2,0,24,14.34,7,70
2024-01-01,2,1002,1,1,0,24,11.45,5,78
2024-01-01,2,1003,2,2,0,24,28.95,5,78
2024-01-01,2,1004,1,1,0,24,24.69,7,76
2024-01-01,2,1005,3,3,0,24,14.75,7,76
2024-01-01,2,1006,3,3,0,24,26.39,3,73
2024-01-01,2,1007,1,1,0,24,13.79,7,60
2024-01-01,2,1008,1,1,0,24,8.32,10,65
2024-01-01,2,1009,2,2,0,24,19.82,5,79
2024-01-01,2,1010,0,0,0,24,18.64,6,87
2024-01-01,2,1011,0,0,0,24,20.01,7,82
2024-01-01,2,1012,1,1,0,24,27.77,5,71
2024-01-01,2,1013,1,1,0,24,17.14,8,75
2024-01-01,2,1014,2,1,1,24,29.09,4,80
2024-01-01,2,1015,1,1,0,24,25.7,7,86
2024-01-01,2,1016,2,2,0,24,17.16,4,77
2024-01-01,2,1017,1,1,0,24,26.23,3,98
2024-01-01,2,1018,6,6,0,24,17.93,5,67
2024-01-01,2,1019,2,2,0,24,16.18,8,83
2024-01-01,2,1020,1,1,0,24,20.45,7,89
2024-01-01,3,1001,4,4,0,24,21.21,5,90
2024-01-01,3,1002,1,1,0,24,18.36,6,72
2024-01-01,3,1003,2,2,0,24,17.12,7,93
2024-01-01,3,1004,1,1,0,24,42.46,8,59
2024-01-01,3,1005,2,2,0,24,23.33,5,93
2024-01-01,3,1006,1,1,0,24,21.75,4,80
2024-01-01,3,1007,1,1,0,24,14.87,7,77
2024-01-01,3,1008,5,5,0,24,28.81,7,67
2024-01-01,3,1009,1,0,1,24,30.57,7,71
2024-01-01,3,1010,4,4,0,24,17.75,10,100
2024-01-01,3,1011,1,1,0,24,28.47,7,68
2024-01-01,3,1012,1,1,0,24,26.13,6,69
2024-01-01,3,1013,3,3,0,24,19.97,6,79
2024-01-01,3,1014,3,2,1,24,13.88,6,72
2024-01-01,3,1015,1,1,0,24,28.83,7,78
2024-01-01,3,1016,2,1,1,24,4.69,6,90
2024-01-01,3,1017,1,1,0,24,10.66,4,73
2024-01-01,3,1018,3,3,0,24,19.29,7,75
2024-01-01,3,1019,1,1,0,24,25.06,9,84
2024-01-01,3,1020,1,1,0,24,10.37,7,83
2024-01-02,1,1001,3,3,0,24,20.2,4,71
2024-01-02,1,1002,1,0,1,24,29.22,6,74
2024-01-02,1,1003,3,2,1,24,19.0,4,77
2024-01-02,1,1004,2,1,1,24,15.6,9,76
2024-01-02,1,1005,1,1,0,24,15.56,5,99
2024-01-02,1,1006,0,0,0,24,16.42,5,92
2024-01-02,1,1007,4,4,0,24,25.97,2,74
2024-01-02,1,1008,4,4,0,24,24.15,5,76
2024-01-02,1,1009,2,2,0,24,24.35,6,80
2024-01-02,1,1010,3,2,1,24,17.29,5,87
2024-01-02,1,1011,4,3,1,24,20.27,5,87
2024-01-02,1,1012,2,2,0,24,26.06,7,79
2024-01-02,1,1013,6,6,0,24,17.32,3,88
2024-01-02,1,1014,0,0,0,24,26.6,7,80
2024-01-02,1,1015,2,1,1,24,16.6,6,74
2024-01-02,1,1016,1,1,0,24,20.83,8,74
2024-01-02,1,1017,0,0,0,24,27.11,4,64
2024-01-02,1,1018,0,0,0,24,20.36,1,80
2024-01-02,1,1019,5,5,0,24,11.6,5,85
2024-01-02,1,1020,0,0,0,24,20.85,7,85
2024-01-02,2,1001,5,5,0,24,24.65,7,79
2024-01-02,2,1002,1,1,0,24,23.01,4,82
2024-01-02,2,1003,4,4,0,24,17.24,7,79
2024-01-02,2,1004,0,0,0,24,18.06,6,81
2024-01-02,2,1005,3,3,0,24,26.04,7,80
2024-01-02,2,1006,4,4,0,24,26.16,4,71
2024-01-02,2,1007,2,1,1,24,13.29,10,84
