Date,CompanyID,ProcessID,TaxAmount,TaxAdjustments,OperationalVolume,CycleTimeHours
2024-01-01,1,10,42792.34,-583.39,123,6.8
2024-01-01,1,20,72227.34,1645.09,105,5.56
2024-01-01,1,30,34061.77,393.72,114,9.48
2024-01-01,2,10,52056.42,-231.3,102,7.4
2024-01-01,2,20,44472.33,2114.24,116,8.69
2024-01-01,2,30,28843.52,-1353.84,106,9.22
2024-01-01,3,10,39929.39,-618.42,127,8.66
2024-01-01,3,20,61706.54,-2212.67,114,5.61
2024-01-01,3,30,49135.88,2007.07,128,8.72
2024-01-02,1,10,42258.56,-71.65,129,11.13
2024-01-02,1,20,51044.56,-598.01,121,8.18
2024-01-02,1,30,26149.17,2955.79,137,6.96
2024-01-02,2,10,40298.08,-1003.51,111,9.83
2024-01-02,2,20,53945.01,194.16,131,9.94
2024-01-02,2,30,45294.7,-2927.03,114,8.59
2024-01-02,3,10,53132.66,-685.43,117,6.4
2024-01-02,3,20,72634.23,349.16,143,8.52
2024-01-02,3,30,49106.65,-3837.54,149,7.95
2024-01-03,1,10,50722.76,4926.48,113,7.62
2024-01-03,1,20,53618.57,2285.65,107,9.5
2024-01-03,1,30,66833.53,-2803.7,111,9.17
2024-01-03,2,10,76285.47,-1981.07,102,6.87
2024-01-03,2,20,31392.04,137.13,126,5.88
2024-01-03,2,30,55683.11,-1566.51,126,7.36
2024-01-03,3,10,59762.21,-2461.73,139,8.45
2024-01-03,3,20,65685.71,519.77,121,9.56
2024-01-03,3,30,56263.3,593.97,115,8.5
2024-01-04,1,10,54157.38,586.14,125,6.57
2024-01-04,1,20,35704.36,1313.11,121,6.05
2024-01-04,1,30,59445.02,1926.75,114,8.83
2024-01-04,2,10,47055.34,-1507.47,125,6.22
2024-01-04,2,20,40210.28,26.0,136,10.91
2024-01-04,2,30,57508.01,-1714.32,122,5.86
2024-01-04,3,10,55789.67,946.48,138,7.85
2024-01-04,3,20,44641.82,1712.8,113,8.43
2024-01-04,3,30,35051.13,-1767.71,141,8.31
2024-01-05,1,10,54293.45,1121.57,106,10.17
2024-01-05,1,20,62645.62,1030.07,115,9.03
2024-01-05,1,30,56850.69,2271.13,120,9.91
2024-01-05,2,10,57816.7,-1545.65,136,7.53
2024-01-05,2,20,77775.9,-3734.53,122,9.37
2024-01-05,2,30,30647.41,-943.86,86,10.18
2024-01-05,3,10,41416.36,1359.2,105,6.54
2024-01-05,3,20,52597.5,4287.89,96,9.27
2024-01-05,3,30,42058.56,1704.87,120,6.41
2024-01-06,1,10,48623.16,-2400.59,132,7.33
2024-01-06,1,20,71185.45,809.96,107,5.48
2024-01-06,1,30,61014.34,-3038.74,122,7.03
2024-01-06,2,10,55325.83,1549.27,115,6.15
2024-01-06,2,20,49285.7,-505.14,120,5.5
2024-01-06,2,30,44719.47,261.48,117,10.88
2024-01-06,3,10,32769.65,-1963.02,120,8.92
2024-01-06,3,20,50837.63,-770.63,100,8.23
2024-01-06,3,30,57945.57,4266.07,116,4.1
2024-01-07,1,10,53371.9,-1245.4,142,7.58
2024-01-07,1,20,44083.99,-1178.73,133,9.7
2024-01-07,1,30,60795.2,614.6,105,9.63
2024-01-07,2,10,57555.55,1494.59,113,9.22
2024-01-07,2,20,56565.17,-404.39,116,7.56
2024-01-07,2,30,63185.32,2610.96,128,8.04
2024-01-07,3,10,53890.0,-260.29,114,8.19
2024-01-07,3,20,57141.88,-2012.03,124,5.57
2024-01-07,3,30,57489.44,1256.69,126,7.98
2024-01-08,1,10,39232.95,1950.24,97,7.71
2024-01-08,1,20,54955.18,-1127.45,115,6.36
2024-01-08,1,30,52924.25,-942.08,102,8.46
2024-01-08,2,10,41378.67,-426.89,116,8.62
2024-01-08,2,20,67704.27,-38.03,118,5.99
2024-01-08,2,30,53872.62,-1654.46,97,9.04
2024-01-08,3,10,68392.87,1380.29,149,7.2
2024-01-08,3,20,50294.12,996.0,100,10.9
2024-01-08,3,30,61511.25,1744.64,118,8.37
2024-01-09,1,10,76277.64,-1616.6,94,6.32
2024-01-09,1,20,42807.29,-1518.27,119,8.3
2024-01-09,1,30,61405.09,-1153.81,126,6.2
2024-01-09,2,10,55903.03,-2640.47,138,11.66
2024-01-09,2,20,64153.28,-938.35,141,4.57
2024-01-09,2,30,66246.47,-3188.86,132,6.8
2024-01-09,3,10,37188.55,-284.76,133,8.24
2024-01-09,3,20,56173.27,-3068.23,111,10.56
2024-01-09,3,30,68613.82,231.35,104,10.36
2024-01-10,1,10,50810.22,-497.93,122,9.94
2024-01-10,1,20,57744.51,2737.26,106,6.07
2024-01-10,1,30,58232.62,2116.85,106,4.48
2024-01-10,2,10,46767.12,1435.08,116,11.0
2024-01-10,2,20,50889.14,-3406.76,117,7.89
2024-01-10,2,30,25190.69,-178.24,119,5.39
2024-01-10,3,10,58036.07,733.2,100,6.12
2024-01-10,3,20,49247.85,1910.28,109,6.03
2024-01-10,3,30,56048.56,-1060.52,109,6.41
2024-01-11,1,10,48715.64,-2070.48,108,6.89
2024-01-11,1,20,35625.47,-1399.45,120,8.43
2024-01-11,1,30,48652.06,-441.94,134,9.23
2024-01-11,2,10,59090.09,-550.1,109,3.4
2024-01-11,2,20,69739.61,-498.07,124,9.15
2024-01-11,2,30,53735.0,-255.84,120,6.09
2024-01-11,3,10,40923.79,-2844.51,121,6.71
2024-01-11,3,20,37021.42,3374.28,105,9.76
2024-01-11,3,30,50928.42,-1722.57,130,11.05
2024-01-12,1,10,56466.92,-1751.24,118,5.23
2024-01-12,1,20,33217.19,1125.94,125,6.7
2024-01-12,1,30,44154.5,97.04,109,6.34
2024-01-12,2,10,47132.62,-1815.13,117,6.85
2024-01-12,2,20,59064.69,198.66,108,9.5
2024-01-12,2,30,42048.51,1141.2,122,6.47
2024-01-12,3,10,28341.41,519.45,120,6.19
2024-01-12,3,20,49207.04,-2422.03,113,6.7
2024-01-12,3,30,50568.78,2012.59,115,6.85
2024-01-13,1,10,56357.65,2883.14,112,3.06
2024-01-13,1,20,40437.26,742.29,115,6.79
2024-01-13,1,30,51039.08,-311.35,142,10.34
2024-01-13,2,10,53053.05,-975.21,106,7.13
2024-01-13,2,20,53477.3,4150.8,108,9.74
2024-01-13,2,30,46087.72,-4076.25,116,5.98
2024-01-13,3,10,50221.02,3352.87,119,8.65
2024-01-13,3,20,47370.79,471.23,116,9.54
2024-01-13,3,30,32256.97,2287.51,105,8.68
2024-01-14,1,10,45016.55,363.73,124,8.5
2024-01-14,1,20,59964.03,-1712.17,107,8.14
2024-01-14,1,30,44268.11,-539.75,115,6.04
2024-01-14,2,10,59083.86,-1844.33,130,9.74
2024-01-14,2,20,66267.65,-1547.58,126,5.51
2024-01-14,2,30,28655.36,2992.09,109,9.31
2024-01-14,3,10,49332.98,4891.5,107,8.26
2024-01-14,3,20,55772.11,447.77,141,6.42
2024-01-14,3,30,55657.62,3186.37,122,6.98
2024-01-15,1,10,50668.7,2188.38,118,4.62
2024-01-15,1,20,68354.6,-2024.21,97,4.69
2024-01-15,1,30,34520.47,-2590.16,121,7.33
2024-01-15,2,10,70028.26,-491.49,110,7.45
2024-01-15,2,20,47228.79,1392.41,120,11.7
2024-01-15,2,30,63518.78,5146.72,107,8.12
2024-01-15,3,10,52377.02,-288.72,99,6.85
2024-01-15,3,20,43437.69,-509.95,122,11.01
2024-01-15,3,30,64953.02,-4146.78,121,7.31
2024-01-16,1,10,45542.71,-2221.15,116,11.5
2024-01-16,1,20,58660.06,-2258.1,127,6.95
2024-01-16,1,30,55872.49,-480.65,125,7.25
2024-01-16,2,10,45668.41,2318.66,127,5.84
2024-01-16,2,20,57391.23,652.27,113,5.5
2024-01-16,2,30,43727.32,2098.02,117,6.59
2024-01-16,3,10,33098.46,-2560.86,123,11.51
2024-01-16,3,20,52532.21,-193.43,122,6.91
2024-01-16,3,30,54789.63,228.46,134,8.3
2024-01-17,1,10,53693.62,-3420.34,118,5.3
2024-01-17,1,20,58919.17,36.87,106,8.7
2024-01-17,1,30,52350.14,-1956.75,108,8.82
2024-01-17,2,10,29569.0,512.06,125,9.97
2024-01-17,2,20,27909.51,-2559.15,123,6.75
2024-01-17,2,30,50313.09,373.53,108,6.49
2024-01-17,3,10,38921.2,-2703.37,111,6.05
2024-01-17,3,20,62643.7,986.64,122,8.37
2024-01-17,3,30,43092.35,244.02,128,13.12
2024-01-18,1,10,48847.28,-69.98,115,11.54
2024-01-18,1,20,58493.02,-1124.93,126,9.26
2024-01-18,1,30,61670.65,-1454.27,112,7.5
2024-01-18,2,10,49106.8,1241.34,138,8.36
2024-01-18,2,20,33975.87,1119.58,134,10.16
2024-01-18,2,30,49158.01,-3321.92,126,8.86
2024-01-18,3,10,52492.25,-2162.11,108,10.11
2024-01-18,3,20,49525.34,1363.0,139,8.06
2024-01-18,3,30,50357.07,192.24,114,7.08
2024-01-19,1,10,52665.61,-957.5,111,10.51
2024-01-19,1,20,39264.71,2893.96,99,8.39
2024-01-19,1,30,53204.6,1779.26,114,8.16
2024-01-19,2,10,62785.76,-1034.58,142,10.82
2024-01-19,2,20,44653.97,2906.77,119,11.16
2024-01-19,2,30,43725.68,-2688.9,111,6.16
2024-01-19,3,10,49583.78,468.43,113,11.1
2024-01-19,3,20,38019.75,1968.64,130,7.57
2024-01-19,3,30,36527.34,764.82,143,8.33
2024-01-20,1,10,55909.42,-1275.48,123,6.94
2024-01-20,1,20,42351.35,2378.03,110,10.84
2024-01-20,1,30,43151.04,-1104.45,126,9.27
2024-01-20,2,10,68570.06,3591.76,110,6.77
2024-01-20,2,20,45347.58,1317.09,134,12.02
2024-01-20,2,30,33448.17,-1461.86,102,7.93
2024-01-20,3,10,71534.69,-1035.22,101,8.45
2024-01-20,3,20,80323.19,-1061.74,133,7.02
2024-01-20,3,30,62529.93,1167.86,126,7.28
2024-01-21,1,10,59845.79,1014.55,130,10.13
2024-01-21,1,20,64031.55,-334.24,124,8.29
